method,route,name,handler,global_filters,local_filters,classification,status,reason,recommended_action,handler_namespace_review,cli_route
GET,API/cronFetchAndGenerateNews,»,\App\Modules\APIs\Controllers\ManagementAPIController::cronFetchAndGenerateNews,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Marketing/runKeywordBackfillBatch,»,\App\Modules\APIs\Controllers\MarketingAPIController::runKeywordBackfillBatch,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Marketing/triggerBackfill,»,\App\Modules\APIs\Controllers\MarketingAPIController::reprocessIncompleteEmails,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
POST,API/Management/backfillMarketingEmails,»,\App\Modules\APIs\Controllers\ManagementAPIController::backfillMarketingEmails,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
