| GET     | API/Wallets/Plaid/Link-Token                                                | »                                              | \App\Modules\APIs\Controllers\WalletsAPIController::plaidLinkToken                                   | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked                                                    | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | API/Wallets//([^/]+)/([^/]+)                                                | »                                              | \App\Modules\APIs\Controllers\WalletsAPIController::index/$1/$2                                      | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked                                                    | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Dashboard                                                                   | dashboard                                      | \App\Modules\User\Controllers\DashboardController::index                                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)                                         | load-modal-1-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)                                 | load-modal-2-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)/([^/]+)                         | load-modal-3-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2/$3                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)/([^/]+)/([^/]+)                 | load-modal-4-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2/$3/$4                      | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)/([^/]+)/([^/]+)/([^/]+)         | load-modal-5-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2/$3/$4/$5                   | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)/([^/]+)/([^/]+)/([^/]+)/([^/]+) | load-modal-6-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2/$3/$4/$5/$6                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/LoadingScreen                                                     | loading-screen                                 | \App\Modules\User\Controllers\DashboardController::LoadingScreen                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
