| GET     | Privacy-Policy                                                              | »                                              | \App\Controllers\Home::privacyPolicy                                                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Legal/Privacy-Policy                                                        | »                                              | \App\Controllers\Home::privacyPolicy                                                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Legal/Terms-And-Conditions                                                  | »                                              | \App\Controllers\Home::terms                                                                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Customer-Support                                                            | »                                              | \App\Modules\Support\Controllers\SupportController::index                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Purchase/MyMIGold                                                           | »                                              | (Closure)                                                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | How-It-Works/Purchase/MyMIGold                                              | »                                              | (Closure)                                                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | How-It-Works                                                                | »                                              | \App\Modules\Blog\Controllers\HowItWorksController::index                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | How-It-Works/([^/]+)                                                        | »                                              | \App\Modules\Blog\Controllers\HowItWorksController::show/$1                                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Support/Article                                                             | »                                              | (Closure)                                                                                            | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                               | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | index.php/How-It-Works                                                      | »                                              | (Closure)                                                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | index.php/How-It-Works/([^/]+)                                              | »                                              | (Closure)                                                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Sector/([^/]+)                                                              | »                                              | \App\Controllers\Home::sector/$1                                                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Terms-Of-Service                                                            | »                                              | \App\Controllers\Home::termsOfService                                                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | resend-activation                                                           | »                                              | \App\Controllers\AuthController::resendActivation                                                    | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf                                   | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | Dev/BitcoinTest                                                             | »                                              | \App\Controllers\Dev\BitcoinTest::index                                                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Debug/whoami                                                                | »                                              | \App\Controllers\Debug::whoami                                                                       | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Debug/auth-audit-cache                                                      | »                                              | \App\Controllers\Debug::authAuditCacheSelfTest                                                       | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | debug/common-data/smoke                                                     | »                                              | \App\Controllers\Debug\CommonDataController::smoke                                                   | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | debug/register-success-probe                                                | »                                              | \App\Controllers\AuthController::registerSuccessProbe                                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | health                                                                      | »                                              | \App\Controllers\Health::index                                                                       | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf responsecache:60                  | responsecache:60 cspoff sessionTracker requestLifecycle observability jsonException toolbar                |
| GET     | status                                                                      | »                                              | \App\Controllers\Health::status                                                                      | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf responsecache:60                  | responsecache:60 cspoff sessionTracker requestLifecycle observability jsonException toolbar                |
| GET     | api/health                                                                  | »                                              | \App\Controllers\Api\HealthController::index                                                         | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked                                                    | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | _ops/opcache-reset                                                          | »                                              | \App\Controllers\Ops::opcacheReset                                                                   | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                         | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | logout                                                                      | »                                              | \App\Controllers\AuthController::logout                                                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache                | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
| GET     | register                                                                    | »                                              | \App\Controllers\AuthController::register                                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache                          | no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar                        |
