id,type,category,page,views
12362,Public,Stock,Stock/NASDAQ/ATHE,14
12363,Public,Home,/,1
12364,Public,Stock,Stock/NYSE/GDL,1
12365,Public,Stock,Stock/NYSE/GDL,12
12366,Public,Stock,Stock/NYSE/SSD,1
12367,Public,Stock,Stock/NYSE/SSD,12
12368,Public,Stock,Stock/NYSE/MBI,1
12369,Public,Stock,Stock/NYSE/MBI,12
12370,Public,Home,/,1
12371,Public,Stock,Stock/NASDAQ/IEA,1
12372,Public,Stock,Stock/NASDAQ/IEA,11
12373,Public,Stock,Stock/AMEX/FNDC,1
12374,Public,Stock,Stock/NYSE/IDA,1
12375,Public,Stock,Stock/NYSE/IDA,14
12376,Public,Stock,Stock/NASDAQ/OCC,1
12377,Public,Stock,Stock/NASDAQ/OCC,11
12378,Public,Home,/,1
12379,Public,Stock,Stock/NASDAQ/FWONK,1
12380,Public,Stock,Stock/NASDAQ/FWONK,12
12381,Public,Home,/,1
12382,Public,Home,/,1
12383,Public,Stock,Stock/NYSE/MUFG,1
12384,Public,Stock,Stock/NYSE/MUFG,14
12385,Public,News,News/Pre-Market-Movers/December-21st-2020,12
12386,Public,Stock,Stock/AMEX/SFY,14
12387,Public,Home,/,1
12388,Public,Home,/,1
12389,Public,Home,/,1
12390,Public,Stock,Stock/NASDAQ/PAEWW,1
12391,Public,Stock,Stock/NASDAQ/PAEWW,13
12392,Public,Home,/,1
12393,Public,Stock,Stock/AMEX/VMM,1
12394,Public,Stock,Stock/AMEX/VMM,14
12395,Public,Stock,Stock/NYSE/STPP,10
12396,Public,Stock,Stock/NYSE/GBL,1
12397,Public,Stock,Stock/NYSE/GBL,9
12398,Public,Home,/,1
12399,Public,Home,/,1
12400,Public,Stock,Stock/NYSE/UHS,1
12401,Public,Stock,Stock/NYSE/UHS,12
12402,Public,Stock,Stock/NASDAQ/VIE,1
12403,Public,Stock,Stock/NASDAQ/VIE,10
12404,Public,Home,/,1
12405,Public,Stock,Stock/NYSE/TAL,13
12406,Public,Home,/,1
12407,Public,Home,/,1
12408,Public,Stock,Stock/NYSE/WMB,1
12409,Public,Stock,Stock/NYSE/WMB,11
12410,Public,Stock,Stock/NYSE/EIC,1
12411,Public,Stock,Stock/NYSE/EIC,14
12412,Public,Stock,Stock/NASDAQ/VSTM,1
12413,Public,Stock,Stock/NASDAQ/VSTM,12
12414,Public,Home,/,1
12415,Public,Home,/,1
12416,Public,Stock,Stock/AMEX/GAA,6
12417,Public,Home,/,1
12418,Public,Home,/,1
12419,Public,Home,/,1
12420,Public,Stock,Stock/AMEX/FBCG,14
12421,Public,Home,/,1
12422,Public,Home,/,1
12423,Public,Home,/,1
12424,Public,Stock,Stock/NYSE/MR,10
12425,Public,Home,/,1
12426,Public,News,News/Pre-Market-Movers/September-23rd-2020,2
12427,Public,Home,/,1
12428,Public,Home,/,1
12429,Public,Home,/,1
12430,Public,Home,/,1
12431,Public,Home,/,1
12432,Public,Stock,Stock/NASDAQ/HOLUU,2
12433,Public,Home,/,1
12434,Public,Stock,Stock/NASDAQ/AMRHW,12
12435,Public,Home,/,1
12436,Public,Stock,Stock/NASDAQ/PRPLW,1
12437,Public,Stock,Stock/NASDAQ/AEY.,1
12438,Public,Home,/,1
12439,Public,Home,/,1
12440,Public,Home,/,1
12441,Public,Home,/,1
12442,Public,Home,/,1
12443,Public,Home,/,1
12444,Public,activate,activate/192/2fcd76a2a001f426b293aaa72135eb5e0192136d,1
12445,Private,Profile,Profile/192,6
12446,Public,Home,/,1
12447,Public,Home,/,1
12448,Public,Home,/,1
12449,Public,Home,/,1
12450,Public,Home,/,1
12451,Public,Home,/,1
12452,Public,News,News/Pre-Market-Movers/October-6th-2020,2
12453,Public,Home,/,1
12454,Public,Home,/,1
12455,Public,Home,/,1
12456,Public,Home,/,1
12457,Public,News,News/Pre-Market-Movers/November-10th-2020,4
12458,Public,Stock,Stock/AMEX/GOAT,6
12459,Public,Home,/,1
12460,Public,Home,/,1
12461,Public,Home,/,1
12462,Public,Home,/,1
12463,Public,Home,/,1
12464,Public,Home,/,1
12465,Public,Home,/,1
12466,Public,Home,/,1
12467,Public,Home,/,1
12468,Public,Stock,Stock/NASDAQ/HECCU,8
12469,Public,Home,/,1
12470,Public,Home,/,1
12471,Public,Home,/,1
12472,Public,Home,/,1
12473,Public,Stock,Stock/NASDAQ/FATBP,2
12474,Public,Home,/,1
12475,Public,activate,activate/193/a8982f8e7aa359efe18917ef1fffdf808a307a42,1
12476,Public,Home,/,1
12477,Public,Home,/,1
12478,Public,Home,/,1
12479,Public,Stock,Stock/NYSE/DGX,9
12480,Public,Home,/,1
12481,Public,Home,/,1
12482,Public,Home,/,1
12483,Public,Home,/,1
12484,Public,Home,/,1
12485,Public,Home,/,1
12486,Public,Home,/,1
12487,Public,Home,/,1
12488,Public,Home,/,1
12489,Public,Home,/,1
12490,Public,Home,/,1
12491,Public,Stock,Stock/NYSE/DSLV,10
12492,Public,Home,/,1
12493,Public,Home,/,1
12494,Public,Home,/,1
12495,Public,Home,/,1
12496,Public,Stock,Stock/NASDAQ/BHFAO,10
12497,Public,Home,/,1
12498,Public,Home,/,1
12499,Public,Home,/,1
12500,Public,Home,/,1
12501,Public,Home,/,1
12502,Public,Stock,Stock/NASDAQ/LGHLW,1
12503,Public,Stock,Stock/NYSE/PSL,7
12504,Public,Home,/,1
12505,Public,Home,/,1
12506,Public,Home,/,1
12507,Public,Stock,Stock/NYSE/DFVS,10
12508,Public,Home,/,1
12509,Public,Home,/,1
12510,Public,activate,activate/194/f34ee599cf874c6005fb1449eb0bb656f8ba8450,1
12511,Public,Stock,Stock/NASDAQ/DRIOW,10
12512,Public,Home,/,1
12513,Public,Home,/,1
12514,Public,Home,/,1
12515,Public,activate,activate/195/8bc0510d359103df4332964970318da7e6c6e6c3,1
12516,Public,Home,/,1
12517,Public,Home,/,1
12518,Public,Stock,Stock/NASDAQ/ETACU,1
12519,Public,Home,/,1
12520,Public,Home,/,1
12521,Public,Home,/,1
12522,Public,Home,/,1
12523,Public,Home,/,1
12524,Public,Home,/,1
12525,Public,Home,/,1
12526,Public,Home,/,1
12527,Public,Home,/,1
12528,Public,Home,/,1
12529,Public,Home,/,1
12530,Public,Home,/,1
12531,Public,Home,/,1
12532,Public,Home,/,1
12533,Public,Home,/,1
12534,Public,Home,/,1
12535,Public,Stock,Stock/NYSE/JSC,3
12536,Public,Home,/,1
12537,Public,Stock,Stock/NYSE/ACIM,1
12538,Public,Home,/,1
12539,Public,Stock,Stock/AMEX/FXU,1
12540,Public,Home,/,1
12541,Public,News,News/Market-Movers/February-10th-2021,1
12542,Public,News,News/Market-Movers/February-10th-2021,1
12543,Public,News,News/After-Hours-Movers/February-10th-2021,1
12544,Public,News,News/Pre-Market-Movers/February-10th-2021,1
12545,Public,News,News/Market-Movers/February-10th-2021,1
12546,Public,News,News/Pre-Market-Movers/February-10th-2021,1
12547,Public,News,News/Pre-Market-Movers/February-10th-2021,1
12548,Public,News,News/Pre-Market-Movers/February-10th-2021,1
12549,Public,News,News/Pre-Market-Movers/February-10th-2021,19
12550,Public,News,News/Market-Movers/February-10th-2021,1
12551,Public,News,News/Market-Movers/February-10th-2021,19
12552,Public,News,News/After-Hours-Movers/February-10th-2021,1
12553,Public,News,News/After-Hours-Movers/February-10th-2021,1
12554,Public,News,News/After-Hours-Movers/February-10th-2021,22
12555,Public,activate,activate/196/ff7f8404fe91e5e02ecff618f7d030ec77c046d6,1
12556,Public,Home,/,1
12557,Public,Home,/,1
12558,Public,Home,/,1
12559,Public,Home,/,1
12560,Public,Home,/,1
12561,Public,Home,/,1
12562,Public,Home,/,1
12563,Public,Home,/,1
12564,Public,Home,/,1
12565,Public,Home,/,1
12566,Public,Home,/,1
12567,Public,Home,/,1
12568,Public,Home,/,1
12569,Public,Home,/,1
12570,Public,Home,/,1
12571,Public,Home,/,1
12572,Public,Home,/,1
12573,Public,Home,/,1
12574,Public,Home,/,1
12575,Public,Home,/,1
12576,Public,Home,/,1
12577,Public,Home,/,1
12578,Public,Home,/,1
12579,Public,Home,/,1
12580,Public,Home,/,1
12581,Public,Home,/,1
12582,Public,Home,/,1
12583,Public,Home,/,1
12584,Public,Home,/,1
12585,Public,Home,/,1
12586,Public,Home,/,1
12587,Public,Home,/,1
12588,Public,Home,/,1
12589,Public,Home,/,1
12590,Public,Home,/,1
12591,Public,Home,/,1
12592,Public,Home,/,1
12593,Public,Home,/,1
12594,Public,Home,/,1
12595,Public,Home,/,1
12596,Public,Home,/,1
12597,Public,Home,/,1
12598,Public,Home,/,1
12599,Public,Home,/,1
12600,Public,Home,/,1
12601,Public,Home,/,1
12602,Public,Home,/,1
12603,Public,Home,/,1
12604,Public,Home,/,1
12605,Public,Stock,Stock/NASDAQ/IMVTW,8
12606,Public,Stock,Stock/NASDAQ/ARYAW,8
12607,Public,Home,/,1
12608,Public,Home,/,1
12609,Public,Home,/,1
12610,Public,Home,/,1
12611,Public,Home,/,1
12612,Public,Home,/,1
12613,Public,Home,/,1
12614,Public,Home,/,1
12615,Public,Home,/,1
12616,Public,Home,/,1
12617,Public,Stock,Stock/NYSE/FPA,7
12618,Public,Home,/,1
12619,Public,Home,/,1
12620,Public,Home,/,1
12621,Public,Stock,Stock/NASDAQ/TECD,8
12622,Public,activate,activate/199/62aeec7afdda92bc904c9a85c433e9923fd9c57c,1
12623,Public,Stock,Stock/NASDAQ/CLWT,7
12624,Public,Stock,Stock/NASDAQ/ADRA,1
12625,Public,Stock,Stock/NASDAQ/QINC,1
12626,Public,Stock,Stock/NASDAQ/PMNA,2
12627,Public,Home,/,1
12628,Public,Stock,Stock/NASDAQ/OTRK,1
12629,Public,Stock,Stock/NASDAQ/NUCL,2
12630,Public,Home,/,1
12631,Public,Home,/,1
12632,Public,Home,/,1
12633,Public,Stock,Stock/NYSE/SWI,1
12634,Public,Stock,Stock/NYSE/SWI,8
12635,Public,Home,/,1
12636,Public,activate,activate/200/6a0545b4f39bad6066cd23fb0fd1b2c6663c2883,1
12637,Public,activate,activate/200/6a0545b4f39bad6066cd23fb0fd1b2c6663c2883,1
12638,Public,Home,/,1
12639,Public,Stock,Stock/NYSE/NOAH,1
12640,Public,Stock,Stock/NYSE/NOAH,8
12641,Public,Home,/,1
12642,Public,Home,/,1
12643,Public,Home,/,1
12644,Public,Home,/,1
12645,Public,Home,/,1
12646,Public,Home,/,1
12647,Public,Stock,Stock/NASDAQ/FDEF,7
12648,Public,Stock,Stock/NYSE/APRN,1
12649,Public,Stock,Stock/NYSE/APRN,9
12650,Public,Stock,Stock/AMEX/FNY,1
12651,Public,Home,/,1
12652,Public,Stock,Stock/AMEX/FNY,7
12653,Public,Stock,Stock/NYSE/HVT,1
12654,Public,Stock,Stock/NYSE/HVT,8
12655,Public,Stock,Stock/NASDAQ/NXMD,8
12656,Public,Stock,Stock/NASDAQ/TACOW,6
12657,Public,activate,activate/203/51ada36b9a52d1c45d161f07e196240d5ea307e7,2
12658,Public,activate,activate/203/eb4422f5158ec8c339ce2e60be8d01142d23f154,3
12659,Public,Stock,Stock/NYSE/RESI,1
12660,Public,Stock,Stock/NYSE/RESI,9
12661,Public,Stock,Stock/AMEX/CHAQ,2
12662,Public,Stock,Stock/NASDAQ/EBTC,1
12663,Public,Stock,Stock/NASDAQ/EBTC,9
12664,Public,Stock,Stock/NYSE/IXUS,12
12665,Public,Home,/,1
12666,Public,Home,/,1
12667,Public,Home,/,1
12668,Public,Stock,Stock/NASDAQ/TAPM,6
12669,Public,Stock,Stock/NASDAQ/DUO,1
12670,Public,Stock,Stock/NASDAQ/DUO,11
12671,Public,Stock,Stock/NYSE/TLT,9
12672,Public,activate,activate/201/98b101b93a88ecfd29322360f7bbdb8708df08b6,2
12673,Public,Home,/,1
12674,Public,Home,/,1
12675,Public,Home,/,1
12676,Public,Home,/,1
12677,Public,Stock,Stock/NYSE/RMO,38
12678,Public,Home,/,1
12679,Public,Home,/,1
12680,Public,Home,/,1
12681,Public,Home,/,1
12682,Public,Home,/,1
12683,Public,Home,/,1
12684,Public,Home,/,1
12685,Public,Stock,Stock/NYSE/RMO.,1
12686,Public,Home,/,1
12687,Public,Home,/,1
12688,Public,Stock,Stock/NASDAQ/FATBW,2
12689,Public,Home,/,1
12690,Public,Home,/,1
12691,Public,Home,/,1
12692,Public,Stock,Stock/NYSE/FMK,6
12693,Public,Stock,Stock/NASDAQ/ZIONP,9
12694,Public,Home,/,1
12695,Public,Home,/,1
12696,Public,activate,activate/204/7361ebe1c57c334d6f1d47c5da42174eb9bfd517,1
12697,Public,Stock,Stock/NASDAQ/ICON,9
12698,Public,Home,/,1
12699,Public,Home,/,1
12700,Public,Home,/,1
12701,Public,Home,/,1
12702,Public,Stock,Stock/NYSE/QD,1
12703,Public,Stock,Stock/NYSE/QD,13
12704,Public,Home,/,1
12705,Public,Home,/,1
12706,Public,Home,/,1
12707,Public,News,News/After-Hours-Movers/December-22nd-2020,6
12708,Public,Home,/,1
12709,Public,Home,/,1
12710,Public,Home,/,1
12711,Public,Home,/,1
12712,Public,Home,/,1
12713,Public,Stock,Stock/NYSE/ETX,4
12714,Public,Home,/,1
12715,Public,Stock,Stock/NYSE/DGLD,8
12716,Private,Profile,Profile/201,1
12717,Public,Home,/,1
12718,Public,Home,/,1
12719,Public,Home,/,1
12720,Public,Home,/,1
12721,Public,Home,/,1
12722,Public,Home,/,1
12723,Public,Home,/,1
12724,Public,Home,/,1
12725,Public,Home,/,1
12726,Public,Stock,Stock/NASDAQ/OPINL,1
12727,Public,Home,/,1
12728,Public,Home,/,1
12729,Public,Home,/,1
12730,Public,Home,/,1
12731,Public,Home,/,1
12732,Public,Home,/,1
12733,Public,Home,/,1
12734,Public,Home,/,1
12735,Public,Home,/,1
12736,Public,Home,/,1
12737,Public,Home,/,1
12738,Public,Home,/,1
12739,Public,Home,/,1
12740,Public,Stock,Stock/NASDAQ/GRCYU,5
12741,Public,Home,/,1
12742,Public,Home,/,1
12743,Public,Home,/,1
12744,Public,Stock,Stock/NASDAQ/MLACU,1
12745,Public,Home,/,1
12746,Public,Home,/,1
12747,Public,Home,/,1
12748,Public,Stock,Stock/NASDAQ/ACB,1
12749,Public,Stock,Stock/NASDAQ/ACB,1
12750,Public,Stock,Stock/NASDAQ/ACB,1
12751,Public,Stock,Stock/NASDAQ/ACB,1
12752,Public,Stock,Stock/NASDAQ/ACB,1
12753,Public,Home,/,1
12754,Public,Home,/,1
12755,Public,Home,/,1
12756,Public,Home,/,1
12757,Public,Stock,Stock/NASDAQ/ACB,5
12758,Public,Home,/,1
12759,Public,Home,/,1
12760,Public,Home,/,1
12761,Public,Home,/,1
12762,Public,Home,/,1
12763,Public,Home,/,1
12764,Public,Home,/,1
12765,Public,Home,/,1
12766,Public,Stock,Stock/NYSE/DTUS,8
12767,Public,Home,/,1
12768,Public,Home,/,1
12769,Public,Home,/,1
12770,Public,Stock,Stock/NASDAQ/DFHTU,2
12771,Public,Stock,Stock/NASDAQ/TMUSR,1
12772,Public,Home,/,1
12773,Public,News,News/After-Hours-Movers/February-11th-2021,1
12774,Public,News,News/Market-Movers/February-11th-2021,1
12775,Public,News,News/Pre-Market-Movers/February-11th-2021,1
12776,Public,News,News/Pre-Market-Movers/February-11th-2021,1
12777,Public,News,News/Market-Movers/February-11th-2021,1
12778,Public,News,News/Pre-Market-Movers/February-11th-2021,1
12779,Public,News,News/After-Hours-Movers/February-11th-2021,1
12780,Public,News,News/Pre-Market-Movers/February-11th-2021,1
12781,Public,News,News/After-Hours-Movers/February-11th-2021,1
12782,Public,News,News/Market-Movers/February-11th-2021,1
12783,Public,News,News/Market-Movers/February-11th-2021,1
12784,Public,Home,/,1
12785,Public,Home,/,1
12786,Public,Home,/,1
12787,Public,Stock,Stock/NASDAQ/HWCPZ,1
12788,Public,Home,/,1
12789,Public,Home,/,1
12790,Public,Home,/,1
12791,Public,Home,/,1
12792,Public,Home,/,1
12793,Public,Home,/,1
12794,Public,Home,/,1
12795,Public,Home,/,1
12796,Public,Home,/,1
12797,Public,Stock,Stock/NYSE/USLV,3
12798,Public,Home,/,1
12799,Public,Home,/,1
12800,Public,News,News/Market-Movers/December-16th-2020,2
12801,Public,Home,/,1
12802,Public,Home,/,1
12803,Public,Stock,Stock/NYSE/BMRG,9
12804,Public,News,News/Market-Movers/February-11th-2021,10
12805,Public,News,News/Pre-Market-Movers/February-11th-2021,11
12806,Public,News,News/After-Hours-Movers/February-11th-2021,11
12807,Public,Home,/,1
12808,Public,Home,/,1
12809,Public,Home,/,1
12810,Public,Home,/,1
12811,Public,Home,/,1
12812,Public,Home,/,1
12813,Public,Home,/,1
12814,Public,Home,/,1
12815,Public,Home,/,1
12816,Public,Home,/,1
12817,Public,Home,/,1
12818,Public,Home,/,1
12819,Public,Home,/,1
12820,Public,Home,/,1
12821,Public,Home,/,1
12822,Public,Home,/,1
12823,Public,Stock,Stock/NASDAQ/FREEW,2
12824,Public,Home,/,1
12825,Public,Home,/,1
12826,Public,Stock,Stock/NASDAQ/IMTXW,1
12827,Public,Stock,Stock/NASDAQ/HTLFP,1
12828,Private,Youtube,Youtube/Trade-Review/SNDL,1
12829,Public,Home,/,1
12830,Public,Home,/,1
12831,Public,Home,/,1
12832,Public,Home,/,1
12833,Public,Home,/,1
12834,Public,Stock,Stock/NASDAQ/SNDL.,1
12835,Public,Home,/,1
12836,Public,Home,/,1
12837,Public,Home,/,1
12838,Public,Home,/,1
12839,Public,Home,/,1
12840,Public,Home,/,1
12841,Public,Home,/,1
12842,Public,Home,/,1
12843,Public,Home,/,1
12844,Public,Home,/,1
12845,Public,Home,/,1
12846,Public,Home,/,1
12847,Public,Home,/,1
12848,Public,Stock,Stock/NYSE/FLAT,10
12849,Public,Home,/,1
12850,Public,Home,/,1
12851,Public,Home,/,1
12852,Public,Home,/,1
12853,Public,Home,/,1
12854,Public,Home,/,1
12855,Public,Home,/,1
12856,Public,Stock,Stock/NASDAQ/INMINT,1
12857,Public,Home,/,1
12858,Public,Home,/,1
12859,Public,Home,/,1
12860,Public,Stock,Stock/NASDAQ/INSSHY,1
12861,Public,Stock,Stock/NASDAQ/INEMLB,1
12862,Public,Stock,Stock/NYSE/VIIX,7
12863,Public,Home,/,1
12864,Public,Home,/,1
12865,Public,Home,/,1
12866,Public,Home,/,1
12867,Public,Home,/,1
12868,Public,Home,/,1
12869,Public,activate,activate/203/9799780ec80e08b55e9bfa6a6164a661e56f1b76,1
12870,Public,Home,/,1
12871,Public,Home,/,1
12872,Public,Home,/,1
12873,Public,Home,/,1
12874,Public,Home,/,1
12875,Public,Home,/,1
12876,Public,Home,/,1
12877,Public,Home,/,1
12878,Public,Home,/,1
12879,Private,Profile,Profile/187,1
12880,Private,Profile-Settings,Profile-Settings/Subscription,62
12881,Public,Home,/,1
12882,Public,Stock,Stock/NYSE/SBSW,1
12883,Public,Stock,Stock/NYSE/SBSW,8
12884,Public,Home,/,1
12885,Public,Home,/,1
12886,Public,Home,/,1
12887,Public,Home,/,1
12888,Public,Home,/,1
12889,Public,Home,/,1
12890,Public,Home,/,1
12891,Public,Home,/,1
12892,Public,Home,/,1
12893,Public,Home,/,1
12894,Public,Home,/,1
12895,Public,Home,/,1
12896,Public,Home,/,1
12897,Public,Home,/,1
12898,Public,Home,/,1
12899,Public,Stock,Stock/NASDAQ/DOYU.,1
12900,Public,Home,/,1
12901,Public,Stock,Stock/NASDAQ/MOGO.,2
12902,Public,Home,/,1
12903,Public,Home,/,1
12904,Public,Home,/,1
12905,Public,Home,/,1
12906,Public,Home,/,1
12907,Public,Home,/,1
12908,Public,Home,/,1
12909,Public,Home,/,1
12910,Public,Home,/,1
12911,Public,Home,/,1
12912,Public,Home,/,1
12913,Public,Home,/,1
12914,Public,Home,/,1
12915,Public,Home,/,1
12916,Public,Home,/,1
12917,Public,Home,/,1
12918,Public,Stock,Stock/NASDAQ/KSMTU,1
12919,Public,Home,/,1
12920,Public,Home,/,1
12921,Public,Home,/,1
12922,Public,Home,/,1
12923,Public,Home,/,1
12924,Public,Home,/,1
12925,Public,Home,/,1
12926,Public,Home,/,1
12927,Public,Home,/,1
12928,Public,Home,/,1
12929,Public,Home,/,1
12930,Public,Home,/,1
12931,Public,Home,/,1
12932,Public,Home,/,1
12933,Public,Home,/,1
12934,Public,Home,/,1
12935,Public,Home,/,1
12936,Public,Home,/,1
12937,Public,Home,/,1
12938,Public,Home,/,1
12939,Public,Home,/,1
12940,Public,Home,/,1
12941,Public,Home,/,1
12942,Public,Home,/,1
12943,Public,Home,/,1
12944,Public,Home,/,1
12945,Public,Home,/,1
12946,Public,Home,/,1
12947,Public,Home,/,1
12948,Public,Home,/,1
12949,Public,Home,/,1
12950,Public,Home,/,1
12951,Public,Home,/,1
12952,Public,Home,/,1
12953,Public,Home,/,1
12954,Public,Home,/,1
12955,Public,Home,/,1
12956,Public,activate,activate/205/b9fbcb15a67228a555493397d6c18064104ee69b,1
12957,Public,Home,/,1
12958,Public,Home,/,1
12959,Public,Home,/,1
12960,Public,Home,/,1
12961,Public,Home,/,1
12962,Public,Home,/,1
12963,Public,Home,/,1
12964,Public,Home,/,1
12965,Public,Home,/,1
12966,Public,Home,/,1
12967,Public,Home,/,1
12968,Public,Home,/,1
12969,Public,Home,/,1
12970,Public,Home,/,1
12971,Public,Home,/,1
12972,Public,Home,/,1
12973,Public,Home,/,1
12974,Public,News,News/Pre-Market-Movers/February-12th-2021,1
12975,Public,News,News/Market-Movers/February-12th-2021,1
12976,Public,News,News/Market-Movers/February-12th-2021,1
12977,Public,News,News/Market-Movers/February-12th-2021,1
12978,Public,News,News/After-Hours-Movers/February-12th-2021,1
12979,Public,News,News/Pre-Market-Movers/February-12th-2021,1
12980,Public,News,News/After-Hours-Movers/February-12th-2021,1
12981,Public,News,News/Market-Movers/February-12th-2021,1
12982,Public,News,News/Market-Movers/February-12th-2021,1
12983,Public,News,News/Pre-Market-Movers/February-12th-2021,1
12984,Public,News,News/Pre-Market-Movers/February-12th-2021,1
12985,Public,News,News/After-Hours-Movers/February-12th-2021,1
12986,Public,News,News/After-Hours-Movers/February-12th-2021,1
12987,Public,News,News/Pre-Market-Movers/February-12th-2021,12
12988,Public,News,News/After-Hours-Movers/February-12th-2021,12
12989,Public,News,News/Market-Movers/February-12th-2021,12
12990,Public,Home,/,1
12991,Public,Home,/,1
12992,Public,Home,/,1
12993,Public,Home,/,1
12994,Public,Home,/,1
12995,Public,Home,/,1
12996,Public,Home,/,1
12997,Public,Home,/,1
12998,Public,Home,/,1
12999,Public,Home,/,1
13000,Public,Home,/,1
13001,Public,Home,/,1
13002,Public,Home,/,1
13003,Public,Home,/,1
13004,Public,Stock,Stock/NYSE/LVS,1
13005,Public,Stock,Stock/NYSE/LVS,10
13006,Public,Home,/,1
13007,Public,activate,activate/206/eace4e495356eee7186e9b05707827dfa86157e3,2
13008,Public,Home,/,1
13009,Public,Home,/,1
13010,Public,Home,/,1
13011,Public,Home,/,1
13012,Public,Stock,Stock/NYSE/DRI,1
13013,Public,Stock,Stock/NYSE/DRI,15
13014,Public,Stock,Stock/NYSE/OCFT,1
13015,Public,Stock,Stock/NYSE/OCFT,11
13016,Public,Home,/,1
13017,Public,Home,/,1
13018,Public,Stock,Stock/NYSE/ENR,1
13019,Public,Stock,Stock/NYSE/ENR,11
13020,Public,News,News/After-Hours-Movers/July-13th-2020,1
13021,Public,Home,/,1
13022,Public,Home,/,1
13023,Public,Home,/,1
13024,Public,Home,/,1
13025,Public,Home,/,1
13026,Public,Home,/,1
13027,Public,Home,/,1
13028,Public,Home,/,1
13029,Public,Home,/,1
13030,Public,Home,/,1
13031,Public,Stock,Stock/AMEX/DBEH,4
13032,Public,Home,/,1
13033,Public,Home,/,1
13034,Public,Home,/,1
13035,Public,Stock,Stock/NYSE/SOS,1
13036,Public,Home,/,1
13037,Public,Stock,Stock/NYSE/SOS,1
13038,Public,Stock,Stock/NYSE/SOS,1
13039,Public,Stock,Stock/NYSE/SOS,8
13040,Public,News,News/After-Hours-Movers/November-6th-2020,3
13041,Public,Home,/,1
13042,Public,Home,/,1
13043,Public,Home,/,1
13044,Public,Home,/,1
13045,Public,Stock,Stock/NYSE/FSR,1
13046,Public,Home,/,1
13047,Public,Stock,Stock/NYSE/FSR,1
13048,Public,Stock,Stock/NYSE/FSR,1
13049,Public,Stock,Stock/NYSE/FSR,1
13050,Public,Stock,Stock/NYSE/FSR,1
13051,Public,Stock,Stock/NYSE/FSR,1
13052,Public,Home,/,1
13053,Public,Home,/,1
13054,Public,Home,/,1
13055,Public,Home,/,1
13056,Public,Home,/,1
13057,Public,Home,/,1
13058,Public,Stock,Stock/NYSE/FSR,1
13059,Public,Stock,Stock/NYSE/FSR,1
13060,Public,Home,/,1
13061,Public,Home,/,1
13062,Public,Home,/,1
13063,Public,Home,/,1
13064,Public,Home,/,1
13065,Public,Home,/,1
13066,Public,Home,/,1
13067,Public,Stock,Stock/NYSE/FSR,1
13068,Public,Stock,Stock/NYSE/FSR,5
13069,Public,Home,/,1
13070,Public,Home,/,1
13071,Public,Home,/,1
13072,Public,Home,/,1
13073,Public,activate,activate/207/05cfc372bd28aa1388399f2d7421b4c94562c730,1
13074,Public,Home,/,1
13075,Public,Home,/,1
13076,Public,Home,/,1
13077,Public,Home,/,1
13078,Public,Home,/,1
13079,Public,Home,/,1
13080,Public,Home,/,1
13081,Public,Home,/,1
13082,Public,Home,/,1
13083,Public,Home,/,1
13084,Public,Home,/,1
13085,Public,Home,/,1
13086,Public,Stock,Stock/AMEX/DSS.,1
13087,Public,Home,/,1
13088,Public,Home,/,1
13089,Public,Home,/,1
13090,Public,Home,/,1
13091,Public,Home,/,1
13092,Public,Home,/,1
13093,Public,Home,/,1
13094,Public,Home,/,1
13095,Public,Home,/,1
13096,Public,Home,/,1
13097,Public,activate,activate/210/3ceff43bd6663386e070146b588d7a1eac58c86c,1
13098,Public,Home,/,1
13099,Public,Home,/,1
13100,Public,Home,/,1
13101,Public,Home,/,1
13102,Public,Stock,Stock/AMEX/KLX,14
13103,Public,Home,/,1
13104,Public,Home,/,1
13105,Public,Home,/,1
13106,Public,Home,/,1
13107,Public,Home,/,1
13108,Public,Home,/,1
13109,Public,Home,/,1
13110,Public,Home,/,1
13111,Public,Home,/,1
13112,Public,Home,/,1
13113,Public,Home,/,1
13114,Public,Home,/,1
13115,Public,Home,/,1
13116,Public,Home,/,1
13117,Public,Home,/,1
13118,Public,Home,/,1
13119,Public,Home,/,1
13120,Public,Stock,Stock/NASDAQ/VYGR.,1
13121,Public,Home,/,1
13122,Public,Home,/,1
13123,Public,Home,/,1
13124,Public,Home,/,1
13125,Public,Home,/,1
13126,Public,Home,/,1
13127,Public,Home,/,1
13128,Public,Home,/,1
13129,Public,Home,/,1
13130,Public,Home,/,1
13131,Public,Home,/,1
13132,Public,Home,/,1
13133,Public,Home,/,1
13134,Public,Home,/,1
13135,Public,Home,/,1
13136,Public,Home,/,1
13137,Public,Home,/,1
13138,Public,Stock,Stock/NYSE/DTYL,6
13139,Public,Home,/,1
13140,Public,Home,/,1
13141,Public,Home,/,1
13142,Public,Home,/,1
13143,Public,Stock,Stock/NYSE/TVIX,9
13144,Public,Home,/,1
13145,Public,Home,/,1
13146,Public,Home,/,1
13147,Public,Home,/,1
13148,Public,Home,/,1
13149,Public,Home,/,1
13150,Public,activate,activate/212/90a6681dc5615d7820bc51cdac886fd36cfa3841,1
13151,Public,Home,/,1
13152,Public,Home,/,1
13153,Public,Home,/,1
13154,Public,Home,/,1
13155,Public,Home,/,1
13156,Public,Stock,Stock/NYSE/SNLN,6
13157,Public,Home,/,1
13158,Public,Home,/,1
13159,Public,Home,/,1
13160,Public,Home,/,1
13161,Public,Home,/,1
