id,type,category,page,views
132,Public,Stock,Stock/NASDAQ/SY,1
133,Public,Stock,Stock/NASDAQ/MVIS,1
134,Public,Stock,Stock/NASDAQ/SSPK,1
135,Public,Stock,Stock/NASDAQ/HBAN,1
136,Public,Stock,Stock/AMEX/AAAU,1
137,Public,Stock,Stock/NASDAQ/AAOI,1
138,Public,Stock,Stock/NASDAQ/APTO,1
139,Public,Stock,Stock/NYSE/USX,1
140,Public,Stock,Stock/NASDAQ/LPCN,1
141,Public,Stock,Stock/NASDAQ/AIKI,1
142,Public,Stock,Stock/NASDAQ/TCON,1
143,Public,Stock,Stock/NASDAQ/FCEL,1
144,Public,Stock,Stock/NASDAQ/EYPT,1
145,Public,Stock,Stock/NASDAQ/CPRX,1
146,Public,Stock,Stock/NYSE/UFI,9
147,Public,Stock,Stock/NYSE/VRS,14
148,Public,Stock,Stock/NASDAQ/EOLS,12
149,Public,Stock,Stock/NASDAQ/SLRX,1
150,Public,Home,/,1
151,Public,News,News/Pre-Market-Movers/January-14th-2021,1
152,Public,Stock,Stock/NYSE/KOP,1
153,Public,Stock,Stock/NYSE/GWB,13
154,Public,Stock,Stock/NASDAQ/CDK,1
155,Public,Stock,Stock/NYSE/CALX,14
156,Public,Stock,Stock/NYSE/WBK,15
157,Public,Stock,Stock/NYSE/VEL,8
158,Public,Stock,Stock/NASDAQ/SWIR,15
159,Public,Stock,Stock/NASDAQ/BZUN,11
160,Public,Stock,Stock/NYSE/SBH,1
161,Public,Stock,Stock/NYSE/MX,12
162,Public,Home,/,1
163,Public,Stock,Stock/NASDAQ/BEAT,1
164,Public,Stock,Stock/NASDAQ/PFHD,11
165,Public,Stock,Stock/NASDAQ/STAF,16
166,Private,Trade-Tracker,Trade-Tracker,390
167,Private,Trade-Tracker,Trade-Tracker/Search,132
168,Public,Stock,Stock/NASDAQ/NSEC,1
169,Public,News,News/Market-Movers/December-27th-2020,8
170,Public,Stock,Stock/NASDAQ/IQ,1
171,Public,Stock,Stock/NASDAQ/ACHV,1
172,Public,Stock,Stock/NASDAQ/AIH,1
173,Public,Stock,Stock/NYSE/ARGD,1
174,Private,Trade-Tracker,Trade-Tracker/Add-Stock,20
175,Private,Trade-Tracker,Trade-Tracker/Add/AAAU/Stock,2
176,Public,Stock,Stock/NASDAQ/PFBC,15
177,Public,Stock,Stock/NASDAQ/MBCN,1
178,Private,Trade-Tracker,Trade-Tracker/Add/AAIT/Stock,1
