| GET     | Account/Billing                                                             | billing                                        | \App\Modules\User\Controllers\DashboardController::billing                                           | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Account/Connected-Accounts                                                  | connected-accounts                             | \App\Modules\User\Controllers\DashboardController::connectedAccounts                                 | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Account/Notifications                                                       | notifications                                  | \App\Modules\User\Controllers\DashboardController::notifications                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Account/Security                                                            | security                                       | \App\Modules\User\Controllers\DashboardController::Security                                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Account/Social-Media                                                        | social-media                                   | \App\Modules\User\Controllers\DashboardController::SocialMedia                                       | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Accounts/createLinkToken                                                    | create-link-token                              | \App\Modules\User\Controllers\AccountController::createLinkToken                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Search                                                                      | »                                              | \App\Modules\User\Controllers\SearchController::index                                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Search/([^/]+)                                                              | »                                              | \App\Modules\User\Controllers\SearchController::index/$1                                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | MyMI-Wallet                                                                 | mymi-wallet                                    | \App\Modules\User\Controllers\WalletsController::MyMIWallet                                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Profile/([^/]+)                                                             | profile                                        | \App\Modules\User\Controllers\DashboardController::profile/$1                                        | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Performance                                                                 | performance                                    | \App\Modules\User\Controllers\DashboardController::performance                                       | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Schedule                                                                    | schedule                                       | \App\Modules\User\Controllers\DashboardController::schedule                                          | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Trade-Tracker                                                               | mymi-trade-tracker                             | \App\Modules\User\Controllers\InvestmentsController::tradeTracker                                    | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Trade-Tracker/getTradeData                                                  | get-trade-tracker-data                         | \App\Modules\User\Controllers\InvestmentsController::getTradeData                                    | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | MyMI-Gold/Goals/([^/]+)                                                     | mymi-gold-daily-goals                          | \App\Modules\User\Controllers\DashboardController::goals                                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | API/Management/resendActivationEmailsBatch                                  | »                                              | \App\Modules\APIs\Controllers\ManagementAPIController::resendActivationEmailsBatch                   | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked cronKey                                            | cronKey cspoff sessionTracker requestLifecycle observability jsonException toolbar                         |
| GET     | API/Management/resendActivationEmailsBatchQueued                            | »                                              | \App\Modules\APIs\Controllers\ManagementAPIController::resendActivationEmailsBatchQueued             | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked cronKey                                            | cronKey cspoff sessionTracker requestLifecycle observability jsonException toolbar                         |
| GET     | API/Management/Marketing/massResendActivationEmails                         | »                                              | \App\Modules\APIs\Controllers\ManagementAPIController::massResendActivationEmails                    | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked cronKey                                            | cronKey cspoff sessionTracker requestLifecycle observability jsonException toolbar                         |
| GET     | API/Squeeze/scorecard                                                       | »                                              | \App\Modules\APIs\Controllers\SqueezeController::scorecard                                           | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked login                                              | login cspoff sessionTracker requestLifecycle observability jsonException toolbar                           |
| GET     | API/Squeeze/zoomout                                                         | »                                              | \App\Modules\APIs\Controllers\SqueezeController::zoomout                                             | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked login                                              | login cspoff sessionTracker requestLifecycle observability jsonException toolbar                           |
| GET     | API/Squeeze/fade                                                            | »                                              | \App\Modules\APIs\Controllers\SqueezeController::fade                                                | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked login                                              | login cspoff sessionTracker requestLifecycle observability jsonException toolbar                           |
| GET     | API/SMTP/test                                                               | »                                              | \App\Modules\APIs\Controllers\SmtpTestController::probe                                              | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked login                                              | login cspoff sessionTracker requestLifecycle observability jsonException toolbar                           |
| GET     | API/Marketing/massResendActivationEmails                                    | »                                              | \App\Modules\APIs\Controllers\MarketingAPIController::massResendActivationEmails                     | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked                                                    | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Dashboard                                                                   | dashboard                                      | \App\Modules\User\Controllers\DashboardController::index                                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)                                         | load-modal-1-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)                                 | load-modal-2-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)/([^/]+)                         | load-modal-3-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2/$3                         | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)/([^/]+)/([^/]+)                 | load-modal-4-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2/$3/$4                      | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)/([^/]+)/([^/]+)/([^/]+)         | load-modal-5-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2/$3/$4/$5                   | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/Transaction-Modal/([^/]+)/([^/]+)/([^/]+)/([^/]+)/([^/]+)/([^/]+) | load-modal-6-segment                           | \App\Modules\User\Controllers\DashboardController::loadModalContent/$1/$2/$3/$4/$5/$6                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/LoadingScreen                                                     | loading-screen                                 | \App\Modules\User\Controllers\DashboardController::LoadingScreen                                     | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/onboarding                                                        | onboarding                                     | \App\Modules\User\Controllers\DashboardController::onboarding                                        | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/checkOnboardingStatus                                             | check-onboarding-status                        | \App\Modules\User\Controllers\DashboardController::checkOnboardingStatus                             | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/continue-setup-modal                                              | continue-setup-modal                           | \App\Modules\User\Controllers\DashboardController::continueSetupModal                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Dashboard/onboarding/progress                                               | onboarding-progress                            | \App\Modules\User\Controllers\OnboardingWalkthroughController::progress                              | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
| GET     | Management/resendActivationEmailsBatch                                      | »                                              | \App\Modules\Management\Controllers\ManagementAdminController::resendActivationEmailsBatch           | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Management/resendActivationEmailsBatchQueued                                | »                                              | \App\Modules\Management\Controllers\ManagementAdminController::resendActivationEmailsBatchQueued     | botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck                                     | cspoff sessionTracker requestLifecycle observability jsonException toolbar                                 |
| GET     | Advisors                                                                    | »                                              | \App\Modules\Advisor\Controllers\AdvisorController::index                                            | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login                   | login cspoff sessionTracker requestLifecycle observability jsonException toolbar                           |
| GET     | Alerts                                                                      | »                                              | \App\Modules\User\Controllers\AlertsController::index                                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login                   | login cspoff sessionTracker requestLifecycle observability jsonException toolbar                           |
| GET     | Alerts//Trades                                                              | »                                              | \App\Modules\User\Controllers\AlertsController::trades                                               | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login                   | login cspoff sessionTracker requestLifecycle observability jsonException toolbar                           |
| GET     | Budget                                                                      | »                                              | \App\Modules\User\Controllers\BudgetController::index                                                | maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore           | noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar                   |
