index,method,route,handler,domain
56,GET,API/Alerts/updateStatus/([0-9]+)/(.*),\App\Modules\APIs\Controllers\AlertsAPIController::updateStatus/$1/$2,Alerts
57,GET,API/Alerts/updateTradeAlerts,\App\Modules\APIs\Controllers\AlertsAPIController::updateTradeAlerts,Alerts
58,GET,API/Alerts/submitTradeAlert,\App\Modules\APIs\Controllers\AlertsAPIController::submitTradeAlert,Alerts
59,GET,API/Alerts/getTradeAlertDetails,\App\Modules\APIs\Controllers\AlertsAPIController::getTradeAlertDetails,Alerts
60,GET,API/Alerts/generateVoiceoverScript,\App\Modules\APIs\Controllers\AlertsAPIController::generateVoiceoverScript,Alerts
61,GET,API/Alerts/generateVoiceoverAndMarketingContent,\App\Modules\APIs\Controllers\AlertsAPIController::generateVoiceoverAndMarketingContent,Alerts
62,GET,API/Alerts/generateAndStoreVoiceover,\App\Modules\APIs\Controllers\AlertsAPIController::generateAndStoreVoiceover,Alerts
63,GET,API/Alerts/generateSocialMediaPosts,\App\Modules\APIs\Controllers\AlertsAPIController::generateSocialMediaPosts,Alerts
64,GET,API/Alerts/postMarketingContentToSocials,\App\Modules\APIs\Controllers\AlertsAPIController::postMarketingContentToSocials,Alerts
65,GET,API/Alerts/gen-keys,\App\Modules\APIs\Controllers\AlertsAPIController::genKeys,Alerts
66,GET,API/Alerts/sign,\App\Modules\APIs\Controllers\AlertsAPIController::sign,Alerts
67,GET,API/Broker/summary,\App\Modules\APIs\Controllers\BrokerAPIController::summary,Broker
68,GET,API/Broker/credit,\App\Modules\APIs\Controllers\BrokerAPIController::credit,Broker
69,GET,API/Broker/available,\App\Modules\APIs\Controllers\BrokerAPIController::available,Broker
70,GET,API/Broker/repayment,\App\Modules\APIs\Controllers\BrokerAPIController::repayment,Broker
71,GET,API/Broker/categories,\App\Modules\APIs\Controllers\BrokerAPIController::categories,Broker
72,GET,API/Broker/transactions,\App\Modules\APIs\Controllers\BrokerAPIController::transactions,Broker
73,GET,API/Broker/goals,\App\Modules\APIs\Controllers\BrokerAPIController::goals,Broker
74,GET,API/Broker/insights,\App\Modules\APIs\Controllers\BrokerAPIController::insights,Broker
75,GET,API/Broker/trends,\App\Modules\APIs\Controllers\BudgetController::trends,Broker
76,GET,API/Broker/net-worth,\App\Modules\APIs\Controllers\BudgetController::netWorth,Broker
77,GET,API/Broker/cash-flow,\App\Modules\APIs\Controllers\BudgetController::cashFlow,Broker
78,GET,API/Broker/budgets,\App\Modules\APIs\Controllers\BudgetController::budgets,Broker
79,GET,API/Broker/savings-goals,\App\Modules\APIs\Controllers\BrokerAPIController::savingsGoals,Broker
80,GET,API/Broker/investment-accounts,\App\Modules\APIs\Controllers\BrokerAPIController::investmentAccounts,Broker
81,GET,API/Broker/linked-accounts,\App\Modules\APIs\Controllers\BrokerAPIController::linkedAccounts,Broker
82,GET,API/Broker/add-linked-account,\App\Modules\APIs\Controllers\BrokerAPIController::addLinkedAccount,Broker
83,GET,API/Broker/remove-linked-account/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::removeLinkedAccount/$1,Broker
84,GET,API/Broker/refresh-linked-account/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::refreshLinkedAccount/$1,Broker
85,GET,API/Broker/fetchPlaidLinkToken/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidLinkToken/$1,Broker
86,GET,API/Broker/fetchPlaidLinkToken,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidLinkToken,Broker
87,GET,API/Broker/unlinkPlaidAccount/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::unlinkPlaidAccount/$1,Broker
88,GET,API/Broker/refreshPlaidAccount/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::refreshPlaidAccount/$1,Broker
89,GET,API/Broker/fetchPlaidAccounts/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidAccounts/$1,Broker
90,GET,API/Broker/fetchPlaidAccounts,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidAccounts,Broker
91,GET,API/Broker/fetchPlaidTransactions/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidTransactions/$1,Broker
92,GET,API/Broker/fetchPlaidTransactions,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidTransactions,Broker
93,GET,API/Broker/fetchPlaidBalances/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidBalances/$1,Broker
94,GET,API/Broker/fetchPlaidBalances,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidBalances,Broker
95,GET,API/Broker/fetchPlaidIncome/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidIncome/$1,Broker
96,GET,API/Broker/fetchPlaidIncome,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidIncome,Broker
97,GET,API/Broker/fetchPlaidLiabilities/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidLiabilities/$1,Broker
98,GET,API/Broker/fetchPlaidLiabilities,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidLiabilities,Broker
99,GET,API/Broker/fetchPlaidIdentity/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidIdentity/$1,Broker
100,GET,API/Broker/fetchPlaidIdentity,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidIdentity,Broker
101,GET,API/Broker/fetchPlaidInvestments/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidInvestments/$1,Broker
102,GET,API/Broker/fetchPlaidInvestments,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidInvestments,Broker
103,GET,API/Broker/fetchPlaidHoldings/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidHoldings/$1,Broker
104,GET,API/Broker/fetchPlaidHoldings,\App\Modules\APIs\Controllers\BrokerAPIController::fetchPlaidHoldings,Broker
105,GET,API/Broker/fetchRobinhoodAccounts,\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodAccounts,Broker
106,GET,API/Broker/fetchRobinhoodAccountDetails/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodAccountDetails/$1,Broker
107,GET,API/Broker/fetchRobinhoodPositions/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodPositions/$1,Broker
108,GET,API/Broker/fetchRobinhoodPositions,\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodPositions,Broker
109,GET,API/Broker/fetchRobinhoodPortfolio/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodPortfolio/$1,Broker
110,GET,API/Broker/fetchRobinhoodPortfolio,\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodPortfolio,Broker
111,GET,API/Broker/fetchRobinhoodWatchlists/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodWatchlists/$1,Broker
112,GET,API/Broker/fetchRobinhoodWatchlists,\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodWatchlists,Broker
113,GET,API/Broker/fetchRobinhoodOrders/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodOrders/$1,Broker
114,GET,API/Broker/fetchRobinhoodOrders,\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodOrders,Broker
115,GET,API/Broker/fetchRobinhoodOrderDetails/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodOrderDetails/$1,Broker
116,GET,API/Broker/fetchRobinhoodOrderDetails,\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodOrderDetails,Broker
117,GET,API/Broker/fetchRobinhoodInstruments/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodInstruments/$1,Broker
118,GET,API/Broker/fetchRobinhoodInstruments,\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodInstruments,Broker
119,GET,API/Broker/fetchRobinhoodQuotes/([^/]+),\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodQuotes/$1,Broker
120,GET,API/Broker/fetchRobinhoodQuotes,\App\Modules\APIs\Controllers\BrokerAPIController::fetchRobinhoodQuotes,Broker
